example_id,example_class,example_note,instrument,method,plate_id,well,sample_id,lims_sample,project,role,nominal_eu_ml,dilution,onset_sec,result_eu_ml,units,ppc_recovery_pct
05,valid,high in-range ~2 EU/mL,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-05,F01,CAR-T-Batch-001,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,,380,2.1,EU/mL,
05,valid,high in-range ~2 EU/mL,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-05,F02,CAR-T-Batch-001,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,,368,2.3,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,A01,STD-5,,,STD,5.0,,312,5.12,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,A02,STD-5,,,STD,5.0,,298,4.88,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,B01,STD-0.5,,,STD,0.5,,612,0.51,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,B02,STD-0.5,,,STD,0.5,,631,0.48,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,C01,STD-0.05,,,STD,0.05,,1104,0.052,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,C02,STD-0.05,,,STD,0.05,,1148,0.047,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,D01,STD-0.005,,,STD,0.005,,1820,0.0053,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,D02,STD-0.005,,,STD,0.005,,1895,0.0047,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,F01,CAR-T-Batch-001-1:10,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,1:10,1100,0.051,EU/mL,
06,valid,1:10 diluted; report well*10,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-06,F02,CAR-T-Batch-001-1:10,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,1:10,1088,0.054,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,A01,STD-5,,,STD,5.0,,312,5.12,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,A02,STD-5,,,STD,5.0,,298,4.88,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,B01,STD-0.5,,,STD,0.5,,612,0.51,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,B02,STD-0.5,,,STD,0.5,,631,0.48,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,C01,STD-0.05,,,STD,0.05,,1104,0.052,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,C02,STD-0.05,,,STD,0.05,,1148,0.047,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,D01,STD-0.005,,,STD,0.005,,1820,0.0053,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,D02,STD-0.005,,,STD,0.005,,1895,0.0047,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,E01,BLK,,,BLANK,,,,0.0,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,F01,CAR-T-Batch-001,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,,855,0.13,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,F02,CAR-T-Batch-001,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,,871,0.12,EU/mL,
07,valid,"second CAR-T run, different plate_id",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-07,H01,CAR-T-Batch-001-PPC,CAR-T-Batch-001,CAR-T In-Process Testing,PPC,0.5,,610,0.62,EU/mL,98
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,A01,STD-5,,,STD,5.0,,312,5.12,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,A02,STD-5,,,STD,5.0,,298,4.88,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,B01,STD-0.5,,,STD,0.5,,612,0.51,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,B02,STD-0.5,,,STD,0.5,,631,0.48,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,C01,STD-0.05,,,STD,0.05,,1104,0.052,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,C02,STD-0.05,,,STD,0.05,,1148,0.047,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,D01,STD-0.005,,,STD,0.005,,1820,0.0053,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,D02,STD-0.005,,,STD,0.005,,1895,0.0047,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,E01,BLK,,,BLANK,,,,0.0,EU/mL,
08,valid,"blanks 0, std recoveries ~100%",Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-08,E02,BLK,,,BLANK,,,,0.0,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,A01,STD-5,,,STD,5.0,,312,5.12,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,A02,STD-5,,,STD,5.0,,298,4.88,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,B01,STD-0.5,,,STD,0.5,,612,0.51,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,B02,STD-0.5,,,STD,0.5,,631,0.48,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,C01,STD-0.05,,,STD,0.05,,1104,0.052,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,C02,STD-0.05,,,STD,0.05,,1148,0.047,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,D01,STD-0.005,,,STD,0.005,,1820,0.0053,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,D02,STD-0.005,,,STD,0.005,,1895,0.0047,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,F01,CAR-T-Batch-001,CAR-T-Batch-001,CAR-T In-Process Testing,SAMPLE,,,850,0.13,EU/mL,
09,edge,PPC recovery ~30% (inhibition) → run invalid,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-09,H01,CAR-T-Batch-001-PPC,CAR-T-Batch-001,CAR-T In-Process Testing,PPC,0.5,,980,0.28,EU/mL,30
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,A01,STD-5,,,STD,5.0,,312,5.12,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,A02,STD-5,,,STD,5.0,,298,4.88,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,B01,STD-0.5,,,STD,0.5,,612,0.51,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,B02,STD-0.5,,,STD,0.5,,631,0.48,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,C01,STD-0.05,,,STD,0.05,,1104,0.052,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,C02,STD-0.05,,,STD,0.05,,1148,0.047,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,D01,STD-0.005,,,STD,0.005,,1820,0.0053,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,D02,STD-0.005,,,STD,0.005,,1895,0.0047,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,E01,BLK,,,BLANK,,,1400,0.018,EU/mL,
10,edge,blank contaminated (result >0) → run fail,Charles River Sunrise / Endoscan-V,kinetic chromogenic LAL,NBIO-LAL-10,E02,BLK,,,BLANK,,,1360,0.021,EU/mL,
